null

"Your query : (TITLE-ABS-KEY(( ""air transport""  OR  aviation  OR  airports  OR  airlines )  AND  (sustainability OR sustainable)) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""cp"" ) OR LIMIT-TO ( DOCTYPE,""ch"" ) OR LIMIT-TO ( DOCTYPE,""re"" ) OR LIMIT-TO ( DOCTYPE,""cr"" ) OR LIMIT-TO ( DOCTYPE,""bk"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( SRCTYPE,""j"" ) OR LIMIT-TO ( SRCTYPE,""p"" ) OR LIMIT-TO ( SRCTYPE,""k"" ) OR LIMIT-TO ( SRCTYPE,""b"" ) ) )"


Number of results : 10

"Basic Energy Sciences","2"
"Battelle","2"
"Binzhou University","2"
"Bombardier","2"
"British Council","2"
"Cardiff University","2"
"Center for Bioenergy Innovation","2"
"Chulalongkorn University","2"
"Cohesion Fund","2"
"Commonwealth Scientific and Industrial Research Organisation","2"
"Consiglio Nazionale delle Ricerche","2"
"Council of Scientific and Industrial Research, India","2"
"Coventry University","2"
"Defense Advanced Research Projects Agency","2"
"Department of Science and Technology of Sichuan Province","2"
"Deutsche Gesellschaft für Internationale Zusammenarbeit","2"
"EIT Climate-KIC","2"
"East China Normal University","2"
"Environment and Conservation Fund","2"
"European Research Council","2"
"Federación Española de Enfermedades Raras","2"
"Fonds Wetenschappelijk Onderzoek","2"
"Fundação Araucária","2"
"Government of Canada","2"
"H2020 Fast Track to Innovation","2"
"Helmholtz-Gemeinschaft","2"
"Heriot-Watt University","2"
"Humanities and Social Science Fund of Ministry of Education of China","2"
